train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
5.866449356079102,5.480257511138916,0.386191725730896,0,9,,,,,,
,,,0,12,2.864445686340332,2.4385199546813965,0.4259257912635803,,,
,,,0,12,,,,7.000673770904541,6.490391254425049,0.5102845430374146
2.288710355758667,1.9157133102416992,0.37299710512161255,1,19,,,,,,
,,,1,25,2.6630759239196777,2.429499626159668,0.23357640206813812,,,
,,,1,25,,,,2.620086908340454,2.2606258392333984,0.3594605326652527
3.117280960083008,2.8597583770751953,0.25752267241477966,2,29,,,,,,
,,,2,38,4.973422527313232,4.802349090576172,0.17107366025447845,,,
,,,2,38,,,,2.751810312271118,2.5452208518981934,0.20658977329730988
4.463984489440918,4.328416347503662,0.13556817173957825,3,39,,,,,,
2.314893960952759,2.004314422607422,0.31057947874069214,3,49,,,,,,
,,,3,51,2.7894248962402344,2.6101479530334473,0.17927676439285278,,,
,,,3,51,,,,2.500802993774414,2.2977888584136963,0.203014075756073
2.352911949157715,2.157606363296509,0.1953056901693344,4,59,,,,,,
,,,4,64,2.6306772232055664,2.456674575805664,0.17400240898132324,,,
,,,4,64,,,,2.432955503463745,2.22866153717041,0.20429390668869019
2.5901427268981934,2.379582643508911,0.21056008338928223,5,69,,,,,,
,,,5,77,2.6865949630737305,2.476909637451172,0.20968526601791382,,,
,,,5,77,,,,2.361807346343994,2.1751351356506348,0.1866723746061325
2.0316123962402344,1.8878337144851685,0.1437787115573883,6,79,,,,,,
1.02997624874115,0.8393616080284119,0.19061468541622162,6,89,,,,,,
,,,6,90,3.1067655086517334,2.92195463180542,0.1848107874393463,,,
,,,6,90,,,,1.7988979816436768,1.617712140083313,0.18118591606616974
3.9564197063446045,3.7447173595428467,0.2117023915052414,7,99,,,,,,
,,,7,103,2.4602394104003906,2.2956936359405518,0.1645459085702896,,,
,,,7,103,,,,1.6307049989700317,1.470170021057129,0.1605350226163864
2.37186861038208,2.210395336151123,0.16147325932979584,8,109,,,,,,
,,,8,116,9.604743957519531,9.33048152923584,0.2742621898651123,,,
,,,8,116,,,,1.4699662923812866,1.3053029775619507,0.16466335952281952
2.8216724395751953,2.6748528480529785,0.14681966602802277,9,119,,,,,,
0.4280873239040375,0.018464207649230957,0.4096231162548065,9,129,,,,,,
,,,9,129,3.083343267440796,2.890500783920288,0.1928424835205078,,,
,,,9,129,,,,2.2490134239196777,2.060307264328003,0.18870656192302704
1.1743220090866089,1.077899694442749,0.09642228484153748,10,139,,,,,,
,,,10,142,2.711914300918579,2.542004108428955,0.16991017758846283,,,
,,,10,142,,,,1.950345516204834,1.77718985080719,0.1731555461883545
1.707313895225525,1.6176406145095825,0.0896732434630394,11,149,,,,,,
,,,11,155,2.8053107261657715,2.635857343673706,0.16945315897464752,,,
,,,11,155,,,,2.023413896560669,1.854124903678894,0.16928905248641968
0.4198281764984131,0.3112791180610657,0.10854905098676682,12,159,,,,,,
,,,12,168,2.536994695663452,2.374682903289795,0.16231182217597961,,,
,,,12,168,,,,1.6232175827026367,1.46049165725708,0.16272589564323425
1.6022452116012573,1.4157522916793823,0.1864929050207138,13,169,,,,,,
0.7142806649208069,0.5939031839370728,0.12037749588489532,13,179,,,,,,
,,,13,181,2.6922779083251953,2.5067739486694336,0.18550394475460052,,,
,,,13,181,,,,1.4666389226913452,1.309240460395813,0.1573985517024994
0.782199501991272,0.6369285583496094,0.1452709436416626,14,189,,,,,,
,,,14,194,2.9529621601104736,2.769807815551758,0.18315446376800537,,,
,,,14,194,,,,1.7085283994674683,1.5204014778137207,0.18812695145606995
4.254985332489014,4.038949966430664,0.21603523194789886,15,199,,,,,,
,,,15,207,2.583275079727173,2.410390853881836,0.1728840470314026,,,
,,,15,207,,,,1.472140908241272,1.3060208559036255,0.16611991822719574
0.7505976557731628,0.6740607023239136,0.07653693854808807,16,209,,,,,,
1.365424633026123,1.202319622039795,0.1631050407886505,16,219,,,,,,
,,,16,220,4.326755046844482,4.132495880126953,0.19425925612449646,,,
,,,16,220,,,,1.2828593254089355,1.1232043504714966,0.15965498983860016
1.0973119735717773,0.8819788694381714,0.21533311903476715,17,229,,,,,,
,,,17,233,3.366530418395996,3.1808876991271973,0.18564261496067047,,,
,,,17,233,,,,1.4321627616882324,1.2631187438964844,0.16904392838478088
1.0344284772872925,0.9302103519439697,0.10421811789274216,18,239,,,,,,
,,,18,246,3.334106683731079,3.1581387519836426,0.17596818506717682,,,
,,,18,246,,,,1.5564825534820557,1.3963710069656372,0.16011153161525726
1.636474370956421,1.5025689601898193,0.13390544056892395,19,249,,,,,,
0.2618565559387207,0.08842843770980835,0.17342810332775116,19,259,,,,,,
,,,19,259,3.0718564987182617,2.8887746334075928,0.1830817610025406,,,
,,,19,259,,,,1.139408826828003,0.9789907932281494,0.16041797399520874
0.6582884788513184,0.4904615581035614,0.16782689094543457,20,269,,,,,,
,,,20,272,3.3870954513549805,3.180628776550293,0.20646657049655914,,,
