train_loss_step,train_task_loss_step,train_concept_loss_step,epoch,step,val_loss,val_task_loss,val_concept_loss,train_c_logit_mean,train_c_logit_std,train_loss_epoch,train_task_loss_epoch,train_concept_loss_epoch
41.35262680053711,40.69963073730469,0.6529944539070129,0,9,,,,,,,,
,,,0,12,28.498371124267578,27.916454315185547,0.5819177627563477,-0.28875237703323364,0.1775173395872116,,,
,,,0,12,,,,,,37.519657135009766,36.867431640625,0.6522262692451477
33.54933547973633,33.01532745361328,0.5340089201927185,1,19,,,,,,,,
,,,1,25,16.20905113220215,15.794292449951172,0.4147584140300751,-1.044581651687622,0.8063477277755737,,,
,,,1,25,,,,,,25.62672996520996,25.08785629272461,0.5388739109039307
27.54835319519043,27.020523071289062,0.5278306603431702,2,29,,,,,,,,
,,,2,38,22.07638168334961,21.687110900878906,0.3892713785171509,-1.2332299947738647,0.9969868063926697,,,
,,,2,38,,,,,,17.449352264404297,16.954288482666016,0.49506449699401855
13.06148624420166,12.518428802490234,0.5430571436882019,3,39,,,,,,,,
6.5408711433410645,6.013311862945557,0.5275593996047974,3,49,,,,,,,,
,,,3,51,39.82914733886719,39.45859909057617,0.3705456852912903,-1.4633172750473022,1.0502004623413086,,,
,,,3,51,,,,,,14.332174301147461,13.849936485290527,0.4822397828102112
19.286882400512695,18.69926643371582,0.5876166820526123,4,59,,,,,,,,
,,,4,64,17.080446243286133,16.62639808654785,0.4540483057498932,-1.0638197660446167,1.3270050287246704,,,
,,,4,64,,,,,,16.693342208862305,16.14691734313965,0.5464251041412354
2.8866822719573975,2.3202931880950928,0.5663890242576599,5,69,,,,,,,,
,,,5,77,13.407157897949219,12.9868803024292,0.42027735710144043,-1.0415971279144287,1.1893645524978638,,,
,,,5,77,,,,,,11.672750473022461,11.150690078735352,0.522059977054596
4.831756114959717,4.315738677978516,0.5160173773765564,6,79,,,,,,,,
9.29134464263916,8.773776054382324,0.5175681710243225,6,89,,,,,,,,
,,,6,90,15.415844917297363,14.981575965881348,0.4342691898345947,-1.0088127851486206,1.2570216655731201,,,
,,,6,90,,,,,,8.780652046203613,8.247600555419922,0.5330507159233093
8.907029151916504,8.290275573730469,0.6167534589767456,7,99,,,,,,,,
,,,7,103,16.674484252929688,16.119831085205078,0.5546538829803467,-0.48329466581344604,0.8787505626678467,,,
,,,7,103,,,,,,12.560096740722656,11.987736701965332,0.5723599195480347
6.483395576477051,5.862603187561035,0.6207922101020813,8,109,,,,,,,,
,,,8,116,17.85264778137207,17.393434524536133,0.4592117667198181,-0.8638031482696533,1.0379866361618042,,,
,,,8,116,,,,,,7.990785598754883,7.387061595916748,0.6037235856056213
2.828861713409424,2.341200351715088,0.48766136169433594,9,119,,,,,,,,
0.5122382640838623,0.0,0.5122382640838623,9,129,,,,,,,,
,,,9,129,18.114809036254883,17.78367805480957,0.33113110065460205,-1.7550889253616333,1.8139654397964478,,,
,,,9,129,,,,,,6.626508712768555,6.125018119812012,0.5014904141426086
1.4321900606155396,0.9668830633163452,0.46530696749687195,10,139,,,,,,,,
,,,10,142,24.23310661315918,23.925016403198242,0.3080902695655823,-1.954918384552002,1.9616624116897583,,,
,,,10,142,,,,,,4.434213161468506,3.992119550704956,0.4420933425426483
10.587756156921387,10.015756607055664,0.5719993710517883,11,149,,,,,,,,
,,,11,155,14.483797073364258,13.894795417785645,0.5890020132064819,-0.4695134162902832,1.0434287786483765,,,
,,,11,155,,,,,,8.539008140563965,8.019482612609863,0.5195260047912598
4.76474142074585,4.1129150390625,0.6518263816833496,12,159,,,,,,,,
,,,12,168,19.267831802368164,18.733707427978516,0.5341262817382812,-0.6533426642417908,1.332671046257019,,,
,,,12,168,,,,,,6.22567892074585,5.397490501403809,0.8281880021095276
3.9939990043640137,3.356328010559082,0.6376709342002869,13,169,,,,,,,,
4.979278087615967,4.305254936218262,0.6740230321884155,13,179,,,,,,,,
,,,13,181,22.608989715576172,22.20699691772461,0.4019913077354431,-1.532202124595642,2.0688657760620117,,,
,,,13,181,,,,,,6.103801250457764,5.491447925567627,0.6123533844947815
2.02260422706604,1.5494662523269653,0.47313791513442993,14,189,,,,,,,,
,,,14,194,15.318913459777832,15.001648902893066,0.31726470589637756,-2.5090644359588623,3.3452935218811035,,,
,,,14,194,,,,,,7.157914161682129,6.641605854034424,0.5163070559501648
14.54898738861084,13.893293380737305,0.655693769454956,15,199,,,,,,,,
,,,15,207,35.94402313232422,35.29569625854492,0.6483284831047058,-0.5397135615348816,1.5691014528274536,,,
,,,15,207,,,,,,8.454756736755371,7.839212417602539,0.6155444979667664
22.408950805664062,21.760835647583008,0.6481150984764099,16,209,,,,,,,,
8.771174430847168,8.00593376159668,0.7652409076690674,16,219,,,,,,,,
,,,16,220,25.843524932861328,25.278749465942383,0.5647769570350647,-0.76619952917099,1.324930191040039,,,
,,,16,220,,,,,,12.167516708374023,11.515300750732422,0.6522166728973389
18.553539276123047,17.756534576416016,0.7970038056373596,17,229,,,,,,,,
,,,17,233,40.707847595214844,40.304649353027344,0.4031953513622284,-2.015688419342041,2.140932559967041,,,
,,,17,233,,,,,,7.874011993408203,7.257956504821777,0.6160557270050049
6.207405090332031,5.0430755615234375,1.1643296480178833,18,239,,,,,,,,
,,,18,246,23.64029312133789,23.14945411682129,0.49083876609802246,-1.1818252801895142,1.8013916015625,,,
,,,18,246,,,,,,7.074822902679443,6.3851494789123535,0.6896736025810242
1.1226290464401245,0.5674325227737427,0.5551965236663818,19,249,,,,,,,,
0.36786192655563354,0.0,0.36786192655563354,19,259,,,,,,,,
,,,19,259,26.26834487915039,25.84130096435547,0.4270431101322174,-1.1133410930633545,1.380144715309143,,,
,,,19,259,,,,,,2.924821615219116,2.395817995071411,0.5290036797523499
2.72092866897583,2.1391215324401855,0.5818070769309998,20,269,,,,,,,,
,,,20,272,34.64580535888672,34.22336959838867,0.4224368631839752,-1.1704860925674438,1.4296118021011353,,,
,,,20,272,,,,,,2.275186538696289,1.656602382659912,0.6185842752456665
0.5328944325447083,3.725290076417309e-09,0.5328944325447083,21,279,,,,,,,,
,,,21,285,43.604000091552734,43.250244140625,0.353757381439209,-2.3173739910125732,2.0796632766723633,,,
,,,21,285,,,,,,4.651159763336182,4.202927589416504,0.448231965303421
7.008881568908691,6.630979537963867,0.3779018223285675,22,289,,,,,,,,
,,,22,298,39.87856674194336,39.49269104003906,0.38587722182273865,-2.565610647201538,2.474053144454956,,,
,,,22,298,,,,,,3.634169816970825,3.0133020877838135,0.6208677291870117
2.853616714477539,2.259582042694092,0.594034731388092,23,299,,,,,,,,
3.440657138824463,3.014775276184082,0.4258818030357361,23,309,,,,,,,,
,,,23,311,38.165130615234375,37.855133056640625,0.30999404191970825,-2.37758469581604,2.1087379455566406,,,
,,,23,311,,,,,,3.617873430252075,3.0269007682800293,0.5909729599952698
1.5650426149368286,0.8606890439987183,0.7043535709381104,24,319,,,,,,,,
,,,24,324,49.456329345703125,49.040157318115234,0.41616949439048767,-3.035139322280884,3.4203991889953613,,,
,,,24,324,,,,,,2.8945939540863037,2.230266809463501,0.6643273234367371
2.696345090866089,2.2808725833892822,0.4154725968837738,25,329,,,,,,,,
,,,25,337,23.709064483642578,23.411334991455078,0.2977294325828552,-3.1657564640045166,2.6611452102661133,,,
,,,25,337,,,,,,11.719253540039062,11.159326553344727,0.5599265694618225
5.6947021484375,5.312438011169434,0.3822639286518097,26,339,,,,,,,,
10.84893798828125,9.408084869384766,1.4408527612686157,26,349,,,,,,,,
,,,26,350,60.37843322753906,59.716304779052734,0.6621297597885132,-1.5064914226531982,3.773512840270996,,,
,,,26,350,,,,,,6.854889392852783,6.061600208282471,0.7932888865470886
6.179205894470215,5.2719950675964355,0.9072110652923584,27,359,,,,,,,,
,,,27,363,175.94142150878906,175.409423828125,0.5320042371749878,-4.673247814178467,5.433241367340088,,,
,,,27,363,,,,,,3.9018020629882812,2.6175901889801025,1.2842119932174683
6.2958550453186035,4.671848773956299,1.6240063905715942,28,369,,,,,,,,
,,,28,376,122.12405395507812,121.36962127685547,0.7544288635253906,-2.5223746299743652,5.21154260635376,,,
,,,28,376,,,,,,12.777289390563965,11.566513061523438,1.210776448249817
17.381513595581055,15.443071365356445,1.9384421110153198,29,379,,,,,,,,
67.96700286865234,66.3157730102539,1.6512300968170166,29,389,,,,,,,,
,,,29,389,55.061676025390625,54.08185577392578,0.9798202514648438,-0.9889900088310242,4.915100574493408,,,
,,,29,389,,,,,,20.4602108001709,17.998321533203125,2.461888551712036
10.26701831817627,6.724150657653809,3.542867422103882,30,399,,,,,,,,
,,,30,402,101.35926818847656,100.02091979980469,1.338349461555481,-7.015700817108154,12.840970993041992,,,
,,,30,402,,,,,,61.46098327636719,59.41267776489258,2.048302173614502
80.93280029296875,78.76380920410156,2.1689908504486084,31,409,,,,,,,,
,,,31,415,72.20330810546875,71.1038818359375,1.0994309186935425,-11.14026165008545,12.862834930419922,,,
